season,episode_number,title,airdate,rating,total_votes,desc
30,2,Woodgrain View,11/30/1993,8.7,7,Bob Ross creates the illusion of luscious textured wood as you are invited to step into another dimension of mountains overlooking a quiet northern river.
30,3,Winter's Peace,12/7/1993,8,9,"Today Bob Ross paints a warm and elegant snow-kissed scene with a little cabin snuggled deeply into the embrace of foothills, evergreens and bushes."
30,4,Wilderness Trail,12/14/1993,9,6,Go on a real nature hike with Bob Ross - follow the overgrown path deep in the woods and enjoy the silent beauty of the surrounding stillness.
30,5,A Copper Winter,12/21/1993,7.2,11,"Step into a snow-covered forest with Bob Ross, a scene that's been gently warmed by the beauty of winter's rustic touches of color."
30,6,Misty Foothills,12/28/1993,9,7,Bob Ross invites you along to enjoy a fabulous mountain lake view with layers of soft hills and trees shrouded in heavy clouded haze.
30,7,Through the Window,1/4/1994,8.8,12,A cleverly constructed shape on canvas! Peek through the panes with artist Bob Ross and share a beautiful snowy day outside.
30,8,Home in the Valley,1/11/1994,9,8,Visit a quaint Bob Ross shanty and experience the tranquility of mysterious distant mountains and an inviting pond just outside the door.
30,9,Mountains of Grace,1/18/1994,7.9,8,Join guest artist Steve Ross today -- experience the magnificence of splendid mountains and glassy lake embraced by leafy trees and bushes.
30,10,Seaside Harmony,1/25/1994,8.8,6,Roll up your trousers and walk the beach with Bob Ross; enjoy a sky full of clouds and waves crashing carelessly upon the rocks.
30,11,A Cold Spring Day,2/1/1994,8.7,9,"Painter Bob Ross invites you to enjoy the last of winter's snowy touch on canvas, as mountains and valleys begin to emerge from their slumber."
30,12,Evening's Glow,2/8/1994,8.6,8,"Enjoy the golden radiance of a setting sun with Bob Ross as night hastens over a softly blended knoll - you'll be home at last, just down trail's end."
30,13,Blue Ridge Falls,2/15/1994,9,7,"Join Bob Ross in the mountains of the east, and bask in the breathtaking serenity of a waterfall bubbling and splashing, nestled among the evergreens."
31,1,Reflections of Calm,2/22/1994,9.2,13,"It's a cold, cold winter day but Bob Ross offers a warm and roomy barn as refuge from the snowy blanket covering the farm."
31,2,Before the Snowfall,3/1/1994,8.8,12,"Bob Ross invites you to experience the anticipation of winter's white blanket, moving in to create a soft, delicate draping of the cabin landscape."
31,3,Winding Stream,3/8/1994,8.6,9,"Join Bob Ross for a stroll down yonder by the river, relax in the serenity of an expansive yet quiet sky with proud evergreens looking on."
31,4,Tranquility Cove,3/15/1994,9,9,"As the foliage reaches its peak of autumn beauty, experience the tranquility of nice meadow, pond and happy birch trees - all painted the Bob Ross way."
31,5,Cabin in the Hollow,3/22/1994,8.5,13,"Soft misty background, sweet snow-kissed cabin and rich trees and bushes - all nestled down inside a winter oval painting by Bob Ross."
31,6,View from Clear Creek,3/29/1994,9.1,7,Gently rolling mountains make an amazing backdrop for this Bob Ross masterpiece; a winding stream and textured ground vegetation provide the rest.
31,7,Bridge to Autumn,4/5/1994,8.4,10,Take a drive into the country with Bob Ross and pass through an old covered bridge into a landscape bursting with soft fall foliage.
31,8,Trail's End,4/12/1994,8.5,8,"In this oval painting, Bob Ross creates a wonderful scene where an old fence follows a trail to the edge of the woods."
31,9,Evergreen Valley,4/19/1994,9.1,10,"Drive through mountain country with Bob Ross and happen upon a ridge of thick, rich evergreens gracing the hollow below."
31,10,Balmy Beach,4/26/1994,9.5,13,Bob Ross invites you for a walk on the shore; soothing waves rolling in from the sea to the palm trees - all in a delightful seashell shape on canvas.
31,11,Lake at the Ridge,5/3/1994,9,9,Guest artist Steve Ross extends an invitation to join him on the banks of a crystal loch for a view of majestic mountain peaks.
31,12,In the Midst of Winter,5/10/1994,8.8,13,"It's a cold, cold winter day but Bob Ross offers a warm and roomy barn as refuge from the snowy blanket covering the farm."
31,13,Wilderness Day,5/17/1994,9.6,50,Step into the natural beauty of an overgrown colorful meadow and enjoy the peace and soft tranquility you get from Bob Ross' painting technique.
